TIMESTAMP,ID,ORD_NUM,AWB_BILL_NO,INVOICE_NO,SHIP_DATE
"2024-05-07 11:55:00",1031,ORD19189310,XXXXXXXXXXXXXXXX,IN1488001,2023-06-08
"2024-05-07 11:55:00",1032,ORD12786310,XXXXXXXXXXXXXXXX,IN7788001,2023-04-25
"2024-05-07 11:58:00",1033,ORD10289310,XXXXXXXXXXXXXXXX,IN1488001,2023-06-08
"2024-05-07 12:01:00",1034,ORD11289310,XXXXXXXXXXXXXXXX,IN1488001,2023-06-08
"2024-05-07 12:04:00",1035,ORD12289310,XXXXXXXXXXXXXXXX,IN1488001,2023-06-08
"2024-05-07 12:09:00",1036,ORD10381410,XXXXXXXXXXXXXXXX,IN1488001,2023-06-08
"2024-05-07 12:18:00",1037,ORD182805105,XXXXXXXXXXXXXXXX,IN99800010,2024-01-17
"2024-05-07 12:19:00",1038,ORD113805105,XXXXXXXXXXXXXXXX,IN20810010,2024-01-17
"2024-05-07 12:19:00",1039,ORD139825105,XXXXXXXXXXXXXXXX,IN10810010,2024-01-17
"2024-05-07 12:19:00",1040,ORD172826105,XXXXXXXXXXXXXXXX,IN00810010,2024-01-17
"2024-05-07 12:20:00",1041,ORD181826105,XXXXXXXXXXXXXXXX,IN60810010,2024-01-17
"2024-05-07 12:20:00",1042,ORD151875105,XXXXXXXXXXXXXXXX,IN30810010,2024-01-17
"2024-05-07 12:21:00",1043,ORD161826105,XXXXXXXXXXXXXXXX,IN70810010,2024-01-17
"2024-05-07 12:21:00",1044,ORD151826105,XXXXXXXXXXXXXXXX,IN80810010,2024-01-17
"2024-05-07 12:22:00",1045,ORD172805105,XXXXXXXXXXXXXXXX,IN01810010,2024-01-17
"2024-05-07 12:22:00",1046,ORD191826105,XXXXXXXXXXXXXXXX,IN90810010,2024-01-17
"2024-05-07 12:23:00",1047,ORD133805105,XXXXXXXXXXXXXXXX,IN41810010,2024-01-17
"2024-05-07 12:24:00",1048,ORD132826105,XXXXXXXXXXXXXXXX,IN51810010,2024-01-17
"2024-05-07 12:24:00",1049,ORD122826105,XXXXXXXXXXXXXXXX,IN61810010,2024-01-17
"2024-05-07 12:25:00",1050,ORD130826105,XXXXXXXXXXXXXXXX,IN81810010,2024-01-17
"2024-05-07 12:25:00",1051,ORD102826105,XXXXXXXXXXXXXXXX,IN71810010,2024-01-17
"2024-05-07 12:25:00",1052,ORD163805105,XXXXXXXXXXXXXXXX,IN91810010,2024-01-17
"2024-05-07 12:26:00",1053,ORD109865105,XXXXXXXXXXXXXXXX,IN22810010,2024-01-17
"2024-05-07 12:26:00",1054,ORD119885105,XXXXXXXXXXXXXXXX,IN32810010,2024-01-17
"2024-05-07 12:27:00",1055,ORD160895105,XXXXXXXXXXXXXXXX,IN42810010,2024-01-17
"2024-05-07 12:33:00",1056,ORD13786310,XXXXXXXXXXXXXXXX,#VALUE!,2023-04-25
"2024-05-08 04:10:00",1057,ORD11381410,XXXXXXXXXXXXXXXX,IN1488001,2023-06-08
"2024-05-08 04:14:00",1058,ORD12381410,XXXXXXXXXXXXXXXX,IN1488001,2023-06-08
"2024-05-08 04:36:00",1059,ORD14786310,XXXXXXXXXXXXXXXX,IN7788001,2023-04-25
"2024-05-08 04:41:00",1060,ORD17381410,XXXXXXXXXXXXXXXX,IN1488001,2023-06-08
"2024-05-08 04:48:00",1061,ORD15786310,XXXXXXXXXXXXXXXX,IN7788001,2023-04-25
"2024-05-08 04:58:00",1062,ORD12784310,XXXXXXXXXXXXXXXX,IN8787001,2023-03-16
"2024-05-08 05:00:00",1063,ORD19287310,XXXXXXXXXXXXXXXX,IN3589001,2024-05-31
"2024-05-08 05:13:00",1064,ORD19085310,XXXXXXXXXXXXXXXX,IN8787001,2023-03-16
"2024-05-08 05:17:00",1065,ORD17885310,XXXXXXXXXXXXXXXX,IN5987001,2023-04-09
"2024-05-08 05:20:00",1066,ORD10387310,XXXXXXXXXXXXXXXX,IN1689001,2023-06-27
"2024-05-08 05:21:00",1067,ORD15586310,XXXXXXXXXXXXXXXX,IN5987001,2023-04-09
"2024-05-08 05:24:00",1068,ORD15287310,XXXXXXXXXXXXXXXX,IN8787001,2023-03-16
"2024-05-08 05:29:00",1069,ORD15481410,XXXXXXXXXXXXXXXX,IN85801001,2023-09-27
"2024-05-08 05:32:00",1070,ORD17481410,XXXXXXXXXXXXXXXX,IN82811001,2023-11-02
"2024-05-08 05:34:00",1071,ORD16388310,XXXXXXXXXXXXXXXX,IN3589001,2023-06-20
"2024-05-08 05:35:00",1072,ORD18481410,XXXXXXXXXXXXXXXX,IN75801001,2023-09-24
"2024-05-08 05:38:00",1073,ORD16384410,XXXXXXXXXXXXXXXX,IN5987001,2023-04-09
"2024-05-08 05:41:00",1074,ORD17384410,XXXXXXXXXXXXXXXX,IN5987001,2023-04-09
"2024-05-08 05:45:00",1075,ORD18384410,XXXXXXXXXXXXXXXX,IN5987001,2023-04-09
"2024-05-08 05:48:00",1076,ORD17388310,XXXXXXXXXXXXXXXX,IN3589001,2023-06-20
"2024-05-08 05:49:00",1077,ORD19384410,XXXXXXXXXXXXXXXX,IN4988001,2023-05-02
"2024-05-08 05:54:00",1078,ORD10484410,XXXXXXXXXXXXXXXX,IN4988001,2023-05-02
"2024-05-08 05:57:00",1079,ORD11484410,XXXXXXXXXXXXXXXX,IN4988001,2023-05-02
"2024-05-08 06:00:00",1080,ORD12484410,XXXXXXXXXXXXXXXX,IN5987001,2023-04-09
"2024-05-08 06:03:00",1081,ORD13484410,XXXXXXXXXXXXXXXX,IN5987001,2023-04-09
"2024-05-08 06:04:00",1082,ORD16489310,XXXXXXXXXXXXXXXX,IN51801001,2023-07-25
"2024-05-08 06:05:00",1083,ORD14484410,XXXXXXXXXXXXXXXX,IN5987001,2023-04-09
"2024-05-08 06:10:00",1084,ORD13085410,XXXXXXXXXXXXXXXX,IN75801001,2023-09-24
"2024-05-08 06:13:00",1085,ORD19685410,XXXXXXXXXXXXXXXX,IN75801001,2023-09-24
"2024-05-08 06:14:00",1086,ORD17489310,XXXXXXXXXXXXXXXX,IN51801001,2023-07-25
"2024-05-08 06:15:00",1087,ORD10785410,XXXXXXXXXXXXXXXX,IN75801001,2023-09-24
"2024-05-08 06:18:00",1088,ORD12785410,XXXXXXXXXXXXXXXX,IN75801001,2023-09-24
"2024-05-08 06:22:00",1089,ORD13486410,XXXXXXXXXXXXXXXX,IN85801001,2023-10-01
"2024-05-08 06:26:00",1090,ORD19688410,XXXXXXXXXXXXXXXX,IN75801001,2023-09-24
"2024-05-08 06:40:00",1091,ORD13589310,XXXXXXXXXXXXXXXX,IN51801001,2023-07-25
"2024-05-08 07:00:00",1092,ORD18884310,XXXXXXXXXXXXXXXX,IN1887001,2023-03-17
"2024-05-08 07:02:00",1093,ORD19884310,XXXXXXXXXXXXXXXX,IN1887001,2023-03-17
"2024-05-08 07:08:00",1094,ORD13884310,XXXXXXXXXXXXXXXX,IN1988001,2023-04-22
